tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards;season
654297;973563;40118;Miguel Cornejo;22;Perú;Mediocentro;Alianza Lima;511.0;17.0;5.0;1.0;7.0;1.0;2.0;4.0;0.0;5.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;17.0;7.0;3.0;8.0;0.0;16.0;20.0;5.0;44.0;294.0;254.0;68.0;13.0;4.0;77.0;8.0;2.0;0.0;2022_2023
966369;1170472;40118;Stefano Fernández;20;Perú;Pivote;Irodotos;882.0;19.0;12.0;0.0;3.0;0.0;3.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;16.0;11.0;14.0;0.0;24.0;2.0;5.0;25.0;348.0;282.0;50.0;20.0;1.0;88.0;5.0;4.0;0.0;2022_2023
740619;1050816;40118;Aryan Romaní;20;Perú;Extremo derecho;Sport. Cristal;749.0;21.0;4.0;1.0;23.0;7.0;8.0;8.0;3.0;14.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;7.0;3.0;3.0;3.0;0.0;12.0;18.0;3.0;41.0;174.0;138.0;55.0;5.0;7.0;111.0;15.0;0.0;0.0;2022_2023
303866;924850;40118;Diego Melián;30;Uruguay;Portero;Dep. Municipal;2970.0;33.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;44.0;3.0;2.0;3.0;7.0;5.0;9.0;997.0;711.0;30.0;210.0;0.0;290.0;0.0;2.0;1.0;2022_2023
870966;1109858;40118;Guillermo Larios;20;Perú;Extremo derecho;Universitario;301.0;12.0;3.0;1.0;7.0;3.0;0.0;4.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;8.0;1.0;4.0;0.0;0.0;11.0;2.0;5.0;10.0;59.0;39.0;19.0;0.0;0.0;42.0;6.0;4.0;1.0;2022_2023
740147;1017763;40118;Juan Pablo Carranza;21;Perú;Mediocentro;Dep. Binacional;193.0;10.0;1.0;0.0;3.0;1.0;2.0;0.0;0.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;3.0;1.0;1.0;0.0;4.0;4.0;2.0;7.0;79.0;56.0;9.0;5.0;2.0;39.0;1.0;0.0;0.0;2022_2023
227771;312276;40118;Marcos Ortiz;29;Perú;Defensa central;Dep. Binacional;1313.0;22.0;13.0;0.0;6.0;0.0;6.0;0.0;1.0;4.0;1.0;2.0;3.0;0.0;0.0;0.0;0.0;37.0;17.0;34.0;7.0;1.0;23.0;10.0;15.0;50.0;477.0;407.0;39.0;35.0;0.0;88.0;2.0;6.0;1.0;2022_2023
670060;1090706;40118;Victor Perlaza;27;Colombia;Delantero centro;Sport Huancayo;1284.0;34.0;10.0;9.0;55.0;22.0;19.0;14.0;0.0;15.0;0.0;6.0;8.0;3.0;3.0;2.0;8.0;2.0;2.0;6.0;3.0;0.0;27.0;43.0;13.0;53.0;252.0;197.0;96.0;4.0;2.0;150.0;29.0;1.0;0.0;2022_2023
94735;311734;40118;Marcos Delgado;34;Perú;Defensa central;U. San Martín;1738.0;24.0;19.0;4.0;17.0;7.0;5.0;5.0;0.0;6.0;0.0;0.0;7.0;0.0;0.0;0.0;3.0;45.0;33.0;68.0;26.0;1.0;21.0;21.0;32.0;72.0;609.0;417.0;79.0;60.0;1.0;234.0;13.0;6.0;0.0;2022_2023
105834;1018128;40118;Daniel Morales;30;Perú;Extremo izquierdo;Sport Huancayo;969.0;22.0;9.0;2.0;19.0;8.0;10.0;1.0;1.0;16.0;2.0;0.0;9.0;0.0;0.0;0.0;8.0;15.0;5.0;8.0;5.0;0.0;16.0;8.0;5.0;32.0;339.0;270.0;96.0;21.0;5.0;135.0;7.0;3.0;0.0;2022_2023
